item,itemLabel,linkcount
http://www.wikidata.org/entity/Q6704887,Lurabee Glacier,8
http://www.wikidata.org/entity/Q6707760,Lyell Glacier,8
http://www.wikidata.org/entity/Q6737156,Maitland Glacier,8
http://www.wikidata.org/entity/Q6744598,Malpighi Glacier,8
http://www.wikidata.org/entity/Q6750706,Manna Glacier,8
http://www.wikidata.org/entity/Q6756939,Matataua Glacier,8
http://www.wikidata.org/entity/Q6772762,Marr Glacier,8
http://www.wikidata.org/entity/Q6773997,Marston Glacier,8
http://www.wikidata.org/entity/Q6799980,McArthur Glacier,8
http://www.wikidata.org/entity/Q6800301,McCleary Glacier,8
http://www.wikidata.org/entity/Q6800687,McCraw Glacier,8
http://www.wikidata.org/entity/Q6801993,McKinnon Glacier,8
http://www.wikidata.org/entity/Q6802143,McLean Glacier,8
http://www.wikidata.org/entity/Q6802299,McManus Glacier,8
http://www.wikidata.org/entity/Q6807945,Mefjell Glacier,8
http://www.wikidata.org/entity/Q6810143,Meinardus Glacier,8
http://www.wikidata.org/entity/Q6843001,Midship Glacier,8
http://www.wikidata.org/entity/Q6843854,Miers Glacier,8
http://www.wikidata.org/entity/Q6845567,Mikado Glacier,8
http://www.wikidata.org/entity/Q6859691,Millington Glacier,8
http://www.wikidata.org/entity/Q6883528,Mitterling Glacier,8
http://www.wikidata.org/entity/Q6885367,Mjell Glacier,8
http://www.wikidata.org/entity/Q6909199,Moran Glacier,8
http://www.wikidata.org/entity/Q6911341,Morelli Glacier,8
http://www.wikidata.org/entity/Q6912526,Morley Glacier,8
http://www.wikidata.org/entity/Q6915381,Mosby Glacier,8
http://www.wikidata.org/entity/Q6915649,Moser Glacier,8
http://www.wikidata.org/entity/Q6938937,Murphy Glacier,8
http://www.wikidata.org/entity/Q6947416,Myers Glacier,8
http://www.wikidata.org/entity/Q6965741,Narechen Glacier,8
http://www.wikidata.org/entity/Q6966784,Nash Glacier,8
http://www.wikidata.org/entity/Q6991138,Nemesis Glacier,8
http://www.wikidata.org/entity/Q6991680,Neny Glacier,8
http://www.wikidata.org/entity/Q7017648,Newcomer Glacier,8
http://www.wikidata.org/entity/Q7031783,Niepce Glacier,8
http://www.wikidata.org/entity/Q7040460,Nishi-naga-iwa Glacier,8
http://www.wikidata.org/entity/Q7045657,Nobile Glacier,8
http://www.wikidata.org/entity/Q7051038,Norfolk Glacier,8
http://www.wikidata.org/entity/Q7053446,Norsk Polarinstitutt Glacier,8
http://www.wikidata.org/entity/Q7060839,Norway Glacier,8
http://www.wikidata.org/entity/Q7074813,Oberst Glacier,8
http://www.wikidata.org/entity/Q7076422,Ochs Glacier,8
http://www.wikidata.org/entity/Q7077641,Odell Glacier,8
http://www.wikidata.org/entity/Q7082704,Oku-iwa Glacier,8
http://www.wikidata.org/entity/Q7088570,Olson Glacier,8
http://www.wikidata.org/entity/Q7089998,Omega Glacier,8
http://www.wikidata.org/entity/Q7104052,Orr Glacier,8
